Job_Title,Company,Location,Salary,Job_Description,Job_Type,Job_Function,Industry,N_Employees
Decision Scientist,Guild Education,"Denver, CO",$69K - $113K (Glassdoor est.),"Guild is hiring for a Decision Scientist who will sit at the intersection of data, technology, business operations, and internal strategy, to help inform Guild's most interesting business needs. You will work across the company to serve as a thought partner and data expert to help drive data driven decisions, build algorithms and tools.

As a Decision Scientist you will:

Serve as the primary analytics partner for teams across the organization including Marketing, Product, and Student Operations to help teams make the best data informed decisions by deeply understanding trends, advising on best practices for collecting data, and building statistical models.
Identify, validate, and make use of structured and unstructured data from disparate data sources in order to perform analyses aimed at highlighting trends and opportunities.
Define and monitor adherence to best practices to ensure data is captured in a way that it can be used to help make impactful decisions, working closely with other data teams to manage Guild's data assets.
Design, develop, and deploy A/B tests and algorithms to help better serve our students, using results to drive improved outcomes.
Serve as a cross-functional consultant to inform strategic and operating business questions by translating business needs into analyses. This could include uncovering a problem, identifying data sources to quantify the problem, synthesizing findings and solutions, and analyzing the business case and tradeoffs.

In addition to working on the Decision and Data Science team, in this role you will collaborate with other Guild leaders including: Kalyan Nanduru, Kate Rossiter, and Christine Hettinger.

You are a strong fit for this role if you have:

3+ years of experience in decision science, data science, analytics or a related technical role in a fast-paced business or start-up environment
Strong technical and analytical skills, with high attention to detail and accuracy.
Proven business experience with SQL, as well as Excel/Google Sheets, and BI Tools (Looker a plus), and familiarity with a scripting language like Python or R.
Experience working cross-functionally with business partners to solve problems, achieve goals, and generate maximum impact.
Analytical, intellectually curious, excellent problem-solver who is comfortable working with messy and unstructured data and translating it into strategic recommendations.
Strong written and oral communication skills - you can build analytical and decision support models, synthesize recommendations, and create effective presentations for all audiences
Team player mindset, with strong interpersonal and influencing skills
Passion for our mission – Guild is pioneering a new path for education as a benefit in a complicated and regulated space – success means quickly and effectively adapting your expertise
Something else? Wonderful, we're curious to learn more about you!

Preferred Competencies:

Analytics and reporting experience in a B2B sales environment.
Exposure to analytics related to digital marketing and/or product development/optimization.
Highly experienced in a scripting language like Python or R.
Something else? Wonderful, we're curious to learn more about you!

About Guild:

Guild is increasing economic mobility for working adults by partnering with the largest employers in the country to offer education as a benefit to their employees via our marketplace of nonprofit universities and education institutions. Guild's proprietary technology platform facilitates the administration of this innovative benefit and our team of coaches helps each employee navigate the path back to school, providing individualized support from day one through program completion.

We are one of the few female-led companies to hit a $1 billion valuation and the only Certified B Corporation with those qualifications. Our Series D financing round was led by Ken Chenault, General Catalyst Partners chairman and former CEO of AMEX, and joined by Emerson Collective, LeadEdge Capital, and Iconiq.

Guild Education is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. Additionally, we feel passionately about equal pay for equal work, and transparency in compensation is one vehicle to achieve that. Total compensation for this role is market competitive, including a base salary range of $90,000 - $100,000, as well as company stock options.


Access to low-cost, high-quality health care options through Cigna and Kaiser (due to coverage limitations, Kaiser is currently only available in CA & CO)
Access to a 401k to help save for your future
3 weeks of vacation in your first year and an open vacation policy after year 1 to help you recharge
8 days of fully-paid sick leave, so that you can take the time to heal and or recover
Family-friendly benefits, including 14 weeks of parental leave, employer-paid short-term and long-term disability, employer-sponsored life insurance, and fertility care benefits.
Well-rounded wellness benefits including access to free and low cost mental health resources and support services
Education benefits and tuition assistance to help your future development and growth",Full-time,data scientist,Information Technology,501 to 1000 Employees
Senior Data Scientist - Finance,"Surescripts, LLC","Arlington, VA",$122K - $194K (Glassdoor est.),"Our purpose is to serve the nation with the single most trusted and capable health information network, built to increase patient safety, lower costs and ensure quality care.Job Summary:Surescripts is the nation's most trusted and capable health information network, handling nearly 20 billion transactions per year. It's an exciting place to be if you work with data.The Senior Data Scientist, Finance role is primarily responsible for developing new analytical capabilities across Financial Planning & Analysis (FP&A) and Finance, including the design of visual, predictive, and prescriptive analysis to drive business results. This role will contribute to the identification and communication of key insights utilized by leadership and the broader finance team(s) to execute our financial strategy. The development of new financial processes, models, and visualizations will be a key component of the role. In addition, the incumbent will be expected to partner with the Business Intelligence team and broader Corporate data science / analysis initiatives to maintain community and develop best practices in Finance.Responsibilities:Apply data science techniques on disparate financial data sources to generate insights to execute the Company’s financial strategy and initiatives.Develop financial models and predictive analytics, specifically contributing to the Company’s ability to deploy its annual budget, quarterly forecasts, and strategic long-range plan.Work cross functionally and engage stakeholders from various teams (Business Intelligence, Customer Group, Product Innovation, Strategy) to elevate the level of data driven insights and decision-making capabilities, and present findings and assumptions to key stakeholders.Develop new capabilities including dashboards and flash reporting to support issue resolution, insight generation and decision making.Enhance financial analytical capabilities and insights effectiveness around product margins, cost management and customer financials.Identify opportunities to accelerate revenue growth by leveraging machine learning, text mining, and statistical analysis.Research and share new analytic techniques and tools to increase the capability across the finance organization.Share analytics tools and techniques with the broader organization analytics team and business partners to enhance the organizational finance and analytics acumen.Partner with finance colleagues to present findings, assumptions, and recommendations to key stakeholders.Qualifications:Basic Requirements:Bachelor’s degree or equivalent experience5+ years of experience as a Quantitative Analyst, Data Scientist, Statistician, or similar role3+ years of experience with data scripting languages and querying languages (e.g. SQL, Python, R, etc.)3+ years of experience articulating business questions and using quantitative modeling and statistical analysis techniques to arrive at a conclusionAdvanced knowledge of Tableau or other visualization toolsProven ability to work independently and as part of a cross-functional team requiredPreferred Qualifications:Financial analysis and modelingExperience working with financial data, systems, or statementsPhysical and Mental RequirementsWhile performing duties of this job, an employee may be required to perform any, or all of the following: attend meetings in and out of the office, travel (sometimes extensively), communicate effectively (both orally and in writing), and be able to effectively use computers and other electronic and standard office equipment with, or without, a reasonable accommodation. Additionally, this job requires certain mental demands, including the ability to use judgement, withstand moderate amounts of stress and maintain attention to detail with, or without, a reasonable accommodation.Surescripts is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate on the basis of race, color, religion, age, national origin, ancestry, disability, medical condition, marital status, pregnancy, genetic information, gender, sexual orientation, parental status, gender identity, gender expression, veteran status, or any other status protected under federal, state, or local law.Surescripts participates in E-Verify.",Full-time,data scientist,Information Technology,501 to 1000 Employees
Scientist II,"CBSET, Inc.","Lexington, MA",$55K - $110K (Glassdoor est.),"Description: CBSET, Inc. is a recognized leader in preclinical biomedical research. We make it our mission to help our sponsors accelerate the development of novel and innovative pharmaceuticals, biotechnologies, and medical devices. CBSET offers extensive regulatory and scientific expertise to the medtech and biopharma industry around the globe in order to rapidly transform early-stage concepts into novel therapies.We at CBSET are committed to providing exceptional animal care and this can only be achieved through hiring exceptional technical talent. By working as a Scientist, you will be part of a collaborative effort with our clients to advance biomedical research through innovative, high-quality services. In addition, CBSET is proud to offer a generous benefits package, which includes health, dental and vision plans, life insurance, short-term and long-term disability, and an opportunity to participate in a 401(k) plan.Please be aware that the requirements presented within in this job listing are the basic qualifications required for the Research Technician position; however, job title will be contingent upon the level of experience of the candidate in those requirements.BASIC SUMMARY: This person will act as a Scientific Leader responsible for overseeing and expanding specific services in the CBSET portfolio. The individual will be recognized by Sponsors for specific historical knowledge in successful conduct of pre-clinical GLP studies required to complete a variety of IND and IDE submissions for specific therapeutic areas. The individual will advise clients on regulatory requirements and FDA expectations for conduct of pre-clinical studies on new products, and ensure most recent FDA requirements are proposed. These responsibilities involve communication with sponsor representatives, including strong knowledge of operational study costs, while assessing the impact of proposed scope changes on budgets and operations to ensure the best scientific and most cost effective approach is proposed. The individual will participate in FDA pre-submission calls and meetings in support of pre-clinical study designs, and articulate the basis of the study designs proposed by CBSET.As a Study Director, the individual will be responsible for developing study protocols, IACUC protocols, study plans, and treatment matrices, while coordinating with technical teams to allow appropriate execution of the study, including establishing study schedules. The role also includes helping to develop new Standard Operating Procedures for the introduction of new techniques to enable expansion of services. This individual will be responsible for overall interpretation of preclinical study data, evaluation, and preparation of study reports.Also, this person will apply a broad range of scientific disciplines and concepts for the preclinical assessment of various treatment modalities, including pharmaceuticals and medical devices. Position requires individual be adept at researching published techniques, and applying general and specific scientific approaches in diversity of therapeutic areas.ESSENTIAL DUTIES AND RESPONSIBILITIES: · Provides client insight into regulatory requirements around pre-clinical testing across a broad range of products.· Function as an independent Study Director, in accordance with applicable Good Laboratory Practices (GLPs).· Understands local regulations and GLPs as they relate to primary area of focus, while applying these to expand service portfolios.· Understands the study process from proposal to report, and helps other scientists in applying this knowledge.· Oversees and coordinates study conduct (protocol development, technical guidance, and reporting).· Conducts study planning, scheduling, and execution under minimal Director supervision.· Understands application of a broad range of subcontracted services, scientific disciplines, and imaging modalities, including reporting of data from these disciplines.· Hosts client visits and telephone/video conferences independently.· Effectively communicates with internal and external clients in a manner that generates confidence and builds trust.· Works on studies/programs of basic to moderate complexity.· Gains experience and begins to develop an area of expertise.· Basic knowledge of Quality Assurance (QA)/Quality Control (QC) process.· Interacts with veterinary staff, understands the IACUC process, and understands the Study Director role in animal welfare.· Assists with mentoring of less experienced staff and may assist with training scientific/senior scientific associate, as needed.· Provides advice to clients and to technical teams.· Understands importance of overall project costs and communicates with the technical supervisor, as well as the Scientific Manager on issues of staffing and equipment, while also participating in proposal development.· May attend scientific meetings, conferences, and training courses to enhance job and professional skills, and present scientific research in public forum and/or scientific meetings, publish scientific data in appropriate peer reviewed journals.· Promote new scientific business areas and services.· Perform other related duties as required.OTHER: · Excellent verbal and written communication skills.· Excellent client relationship skills including planning, client interaction, and fulfilling administrative responsibilities.· Demonstrated analytical and problem solving abilities.· Proficiency with computers and standard application software.· Knowledge of GLP regulations.· Excellent organization skills and the ability to meet deadlines.· Ability to interact appropriately with all levels of employees.· Proven leadership skills and the ability to work effectively with, and direct the efforts of, team members.QUALIFICATIONS: · Education: Advanced degree in related scientific discipline or equivalent experience.· Experience: 1-2 yrs experience with a DVM or PhD; 2-5 yrs experience with a Master’s Degree; 5+ yrs experience with a Bachelor’s Degree, preferably in a pharmaceutical or contract laboratory environment.· Certification/Licensure: N/RPHYSICAL DEMANDS: · Must be able to perform laboratory procedures, which require, talking, hearing, standing or sitting for long periods of time, entering data into a computer, using appropriate instruments, reaching with hands and arms, working in narrow spaces, and wearing safety equipment (PPE) according to OSHA regulations and company standards.WORK ENVIRONMENT: · Animal facility and laboratories with moderate noise possible and exposure to hazardous/noxious devices (e.g., needles, scalpel blades etc), chemicals (e.g., anesthetic gases, formalin, alcohols, xylenes, etc) and/or radiation.· General office working conditions, with generally quiet noise conditions.COMMENTS: · May require occasional duties on weekends and/or holidays.· May require occasional travel.Job Type: Full-timePay: $0.00 per hourBenefits:401(k)401(k) matchingDental insuranceDisability insuranceEmployee assistance programFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offParental leaveProfessional development assistanceReferral programTuition reimbursementVision insuranceSchedule:Monday to FridayCOVID-19 considerations:We can set up a zoom interview too if that's better for the candidate.Education:Master's (Preferred)Experience:Research Experience: 1 year (Preferred)Company's website:www.cbset.orgBenefit Conditions:Only full-time employees eligibleCOVID-19 Precaution(s):Social distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",Full-time,research scientist,Biotech & Pharmaceuticals,51 to 200 Employees
In Vivo Electrophysiology Scientist,Novartis,"Cambridge, MA",$60K - $114K (Glassdoor est.),"60 million adults in the US experience mental illness in a given year. In about 13 million of these patients, the illness is severe and substantially interferes with one or more major aspects of their lives.The Neuroscience Department at Novartis Institutes for Biomedical Research is committed to developing transformative therapies to treat such disorders. We are seeking an experienced and highly passionate scientist to join the In Vivo Electrophysiology lab. The individual will primarily design and execute experiments in genetic and pharmacological rodent models using in vivo electrophysiology to support multiple programs in neuropsychiatric, neurodevelopmental, and neurodegenerative disorders. The individual will also assist in developing novel assays and analytical approaches to generate preclinical and translational disease-relevant endpoints.Your Key Responsibilities Include:Design and execute in vivo electrophysiology assays such as resting state EEG, auditory-evoked potentials, seizure detection in rodentsPerform animal handling, dosing, and surgical proceduresUse computational approaches (e.g. Matlab, Python) to analyze EEG-based data and generate summariesAnalyze and interpret data and present findings to multidisciplinary teamsWhat You'll Bring to the Role:Proficiency in executing in vivo electrophysiology experiments (EEG, auditory-evoked potentials) in rodentsExtensive hands-on experience in animal handling and dosing (IP, SC, PO, etc.)Experience in stereotaxic surgery, electrode implantation; knowledge of subcutaneous implantations is beneficialProficiency/familiarity with EEG signal processing using MatlabExcellent ability to work in a collaborative, team-based environmentAbility to clearly communicate data and maintain accurate and detailed documentationBachelors or Masters in Neuroscience or a related subject area with a minimum of 2 years of industry/academic experienceDesirable Requirements:Programming experience in Matlab/Python to develop novel analytical approachesFamiliarity with animal surgical procedures including post-operative carein vivo pharmacology experienceBasic understanding of neurophysiology and neural circuitryWhy consider Novartis?799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.Imagine what you could do at Novartis!Commitment to Diversity and Inclusion:Novartis embraces diversity, equal opportunity and inclusion. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration, and empowers our people to unleash their full potential.We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, marital or veteran status, disability, or any other legally protected status. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration and empowers our people to unleash their full potential.",Full-time,research scientist,Biotech & Pharmaceuticals,10000+ Employees
Data Analyst,MMM Holdings,"Orlando, FL",$47K - $87K (Glassdoor est.),"It's fun to work in a company where people truly BELIEVE in what they're doing!We're committed to bringing passion and customer focus to the business.Consolidate and analyze population data (premium, eligibility, claims utilization etc.) taking into account company’s goals and financial goalsProvide creative alternatives to best organize and present data from all sources (third party payors, EMR and operational)Assemble and summarize data to structure sophisticated reports on status and risksWork with data analytics external vendors to ensure completeness and accuracy of published information in the dashboard sitesConduct business studies on past, future and comparative performance and work with finance to develop forecast modelsMaintain specific KPIs that will flag lower than expected performance or anomalies in the data as the driver or causePerform ad-hoc analysis and produce summarized reports based on current initiatives and specific areas of focus deemed important to drive performanceReconcile transactions by comparing and correcting dataGain and update job knowledge to remain informed about novelty in the field including differences and updates of data dictionariesWork alongside the Medical Economics team at the local provider groups to vet, understand and improve the presentation and ensure they are driving action instead of simply reportingDrive process improvement and policy development initiatives that impact the data analysis functionAbility to streamline aggregation and maintenance of payer data archiveMinimum Qualifications1-3 years of experience Industry related (business, health care, consulting, insurance)Bachelor’s degreeHealthcare experience preferredProficiency in Microsoft Office including Excel (Vlookups and Pivot Tables), Access and WordSQL Query skill is requiredExcellent verbal, written and mathematical skillsIf you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",Full-time,data analyst,Insurance,1001 to 5000 Employees
Regulatory Affairs Data Analyst,Arthrex,"Naples, FL",$47K - $85K (Glassdoor est.),"Main Objective: Provide data stewardship, including the maintenance, validation and continuous improvement of SAP master data specific to regulatory activities for Arthrex, Inc.ESSENTIAL DUTIES AND RESPONSIBILITIES:Creates, maintains, monitors and analyzes master data in SAP and/or other integrated solutions.Accurately inputs data/uploads of all pertinent information.Verifies all data elements are correct for data entry or upload.Logs, tracks and reports on global regulatory submission and licensing data for Regulatory Department marketing authorizations.Engages global system users to ensure and enhance data quality and train users to ensure continuity of results.Implements creative yet logical approaches to solving data problems utilizing established global and regulatory rules.Identify, analyze and resolve issues related to integrity, accuracy, consistency, compliance, and completeness of Regulatory master data.Provides testing support for upgrades and releases, including integration testing from various sources to target systems.Implement, measure and report key process indicators related to Master Data Management initiatives and data quality.Conduct periodic audits of Regulatory master data to confirm accuracy.Partner with IT teams in long-term and Global strategic improvement initiatives.Communicate effectively with internal and external business partners to achieve company objectives; professionally communicate critical time-sensitive information exceptions and changes to affected parties.Ability to support project and service requests from global operations in multiple time zonesKnowledge - Limited use and/or application of basic master data management principles, theories, and concepts. Limited knowledge of industry practices and standards.Problem Solving- Solves routine problems of limited scope and complexity following established policies and procedures.Discretion/ Latitude- Work is closely supervised. Follows specific, detailed instructions.Impact- Contributions are usually limited to task-related activities. Errors do not typically have a major effect on the organization. May assist with projects.Liaison- Contacts are primarily with immediate supervisor, and other personnel in the section or group.Education Experience- Bachelor's degree in Business, Engineering or Computer Science or related field required. Master’s degree in Business or Engineering preferredAll qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.Nearest Major Market: Naples",Full-time,data analyst,Manufacturing,1001 to 5000 Employees
Data Scientist (Federal),C3 AI,"Washington, DC",$88K - $142K (Glassdoor est.),"C3.ai, Inc. (NYSE:AI) is a leading provider of Enterprise AI software for accelerating digital transformation. C3 AI delivers a family of fully integrated products: C3 AI® Suite, an end-to-end platform for developing, deploying, and operating large-scale AI applications; C3 AI Applications, a portfolio of industry-specific SaaS AI applications; C3 AI CRM, a suite of industry-specific CRM applications designed for AI and machine learning; and C3 AI Ex Machina, a no-code AI solution to apply data science to everyday business problems. The core of the C3 AI offering is an open, model-driven AI architecture that dramatically simplifies data science and application development. Learn more at: www.c3.ai
C3.ai is looking for a Data Scientist (Federal) to solve challenging, novel, and large-scale enterprise problems for Federal clients. In this capacity you will represent C3.ai as a technical expert and help our team to frame problems, choose appropriate machine learning algorithms, and identify opportunities to leverage the C3.ai Suite.

Recent examples of successful engagements include predictive maintenance on oil and gas equipment and aircraft subsystems, supply chain optimization, manufacturing yield optimization, chronic disease prevention, customer spend prediction, and equipment lifetime optimization.

Qualified candidates will have an in-depth knowledge of most common machine learning techniques and their application. You will also understand the limitations of these algorithms and how to tweak them or derive from them to achieve results at large-scale.

This role requires US Citizenship or US Permanent Residence.

Your Responsibilities:

Become an expert in the C3.ai Suite and associated tools to teach, enable, and assist C3.ai customers to build their own applications.
Design and deploy machine learning pipelines for C3.ai's federal customers.
Collaborate with data and subject matter experts from C3.ai and its customer teams to seek, understand, validate, interpret, and correctly use new data elements.

Requirements:

US Citizenship or US Permanent Resident
Bachelor's degree
Strong understanding of machine learning algorithms & principles (regression analysis, time series, probabilistic models, supervised classification and unsupervised learning), and their application
Strong background in mathematics, statistics, and computer science
Excellent programming skills in Python
Ability to drive a project and work both independently and in a team
Smart, motivated, can do attitude, and seeks to make a difference
Excellent verbal and written communication

Preferred

MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields. Specialization in machine learning preferred.
Active Department of Defense (DoD) security clearance (Secret or higher)
Excellent programming skills in JavaScript. Experience with Java and Scala is a plus.
Experience with deep learning, natural language processing, computer vision, or reinforcement learning
A portfolio of projects (GitHub, papers, etc.)

C3.ai provides a competitive compensation package and excellent benefits.
C3 AI is proud to be an Equal Opportunity and Affirmative Action Employer. We do not discriminate on the basis of any legally protected characteristics, including disabled and veteran status.",Full-time,data scientist,Information Technology,501 to 1000 Employees
Data Scientist- FinTech,Avant,"Chicago, IL",$89K - $144K (Glassdoor est.),"Avant is dedicated to building premier digital banking solutions for the middle class through a combination of technology, analytics and superior customer service. Since 2012, Avant has connected over one million customers to $6.5 billion in loans and to 200,000 credit cards. A high growth financial technology company, Avant has been featured in The Wall Street Journal, The New York Times, TechCrunch, Fortune, Bloomberg, and has raised over $600 million of equity capital. Visit www.avant.com for more information.Let’s get to business. Avant is looking for a new Data Scientist to join the team in Chicago.We are revolutionizing access to credit by innovative mathematical models. As part of our data science team, you will leverage our fast growing structured and unstructured dataset to improve default prediction, marketing analytics and operations. Your models will have a direct impact on our customers by helping us provide them with financing options at fair cost.What you do at Avant:Work with stakeholders throughout the company to identify opportunities for leveraging company data and third-party vendor data to drive business solutionsUse predictive models to increase and optimize customer experience, revenue generation, direct mail targeting, fraud detection and other business outcomesMine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategiesProcess, cleanse, and verify the integrity of data used for modeling and analysisDevelop machine learning models, select features, build and optimize classifiers using various machine learning techniquesDoing ad-hoc analysis and presenting results in a clear manner to Sr. ManagementCoordinate with other functional teams to implement models and monitor outcomesDevelop and enhance processes and tools to monitor model performance and input data accuracyWhy you are a fit for Avant:Bachelor's Degree in statistics, machine learning, computer science, econometrics, or other quantitative fieldPrior experience in statistics and machine learning modeling techniques through coursework or professional experienceExpertise in at least one statistical programming language such as Python (preferred) or RProfessional experience with relational databases such as Oracle, PostgresSQL, SQL ServerPreferred Qualifications:Master’s Degree or PhD in statistics, machine learning, computer science, econometrics, or other quantitative fieldProven ability to communicate findings clearly to both technical and non-technical audiencesExpertise in machine learning theories and practices, including regression models, GLM, SVM and tree based models (e.g. Boosting, Random Forest)Familiar with Object-Oriented Design (OOD) concept and functional programmingPrior experience in risk, marketing, or loss forecasting modelingWhy Avant is a fit for you:At Avant, we believe our values make a difference:We value, support, and help each other growWe are committed to active inclusion and diversityWe are transparent and believe the best idea winsWe succeed when our customers succeedWe get sh!t done… responsiblyAnd we keep it fun!We believe that ideas are more important than titles, everything is more fun together, everyone drives change, and everyone is an owner. While we believe the perks and benefits that we offer are terrific, nothing excites us more than having the ability to collaborate with intelligent, highly-motivated and talented people on challenging problems as we work to change the face of online lending.Avant is an equal opportunity employer and individuals seeking employment are considered without regard to race, color, national origin, religion, sex (including pregnancy, sexual orientation or gender identity), age, disability or genetic information or any other factor protected by applicable federal, state or local law, regulation or ordinance.",Full-time,data scientist,Finance,501 to 1000 Employees
Product Strategy Leader - Data Science Technologies,TransUnion,"Chicago, IL",$98K - $158K (Glassdoor est.),"What We'll Bring:At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation. We’re consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius.Come be a part of our team – you’ll work with great people, pioneering products and cutting-edge technology.What You'll Bring:Advanced knowledge of the product management lifecycle management and go to market processes for B2B software in the data science and machine learning platform spaceExperience in managing product portfolio of data science platforms, predictive analytic models, and machine learning commercialization in the financial space will be preferredMinimum of 7 years’ experience from one of the following areas preferred: risk management, B2B data science technology services, financial services, and/or other similar fieldsUnderstanding of how data science and risk analytics teams have implemented data science software and platforms in the risk analytics spaceUndergraduate degree in finance, accounting, mathematics, engineering or one of the hard sciences. MA/MS/MBA or equivalent experience is a plus.Deep knowledge and experience in product strategy and management, preferably in financial services, risk analytics, or data science technologyStrong leadership skills; ability to take initiative and ownership and effectively leverage resources to successful outcomes without constant directionStrong problem solving skills; ability to break down complex problems into critical parts, identify the key causes and effectively prioritize and execute way forwardProven ability to quickly grasp industry and business-wide concepts in order to assess implications to drive actions and to capitalize on opportunitiesStrong critical thinking skills, ability to assimilate and understand new concepts in short time framesExceptional analytical skills; ability to logically and systematically visualize and efficiently tackle tasksSuperior communication skills (verbal and written)Outstanding interpersonal skills and ability to work across functions and levels of seniorityHighly organized, excellent project management abilitiesAdvanced fluency in Excel, PowerPoint and WordComfort operating in and delivering high-profile results in ambiguous environments#LI-JD1Impact You'll Make:The Product Strategy Leader - Data Science Technologies will work closely with the VP of Analytics Enablement Solutions to provide leadership in defining, developing, launching, and managing the global data science and analytics product portfolio. You will leverage your domain expertise in the data science platform and risk analytics space to drive the business forward with responsibility for all analytic enablement products globally with a focus on our Prama suite of solutions.Your role will evolve as we form the group and initially, you will:Work closely with the VP of Analytics Enablement Solutions to develop the vision and roadmap for the analytics suite of solutionsAccountable for the longer-term P&L performance and strategy for your product portfolioDevelop strategic insights based on market assessments grounded in primary and secondary researchCollaborate with Sales, Markets, Regions, Data Science, Global Technology, Marketing, and the broader Global Solutions Team to create and maintain business plans with clear and measurable targets while ensuring cohesive product offeringsPartners with International Product leads to ensure best practice sharing between US and TU International MarketsDevelop and deliver senior level presentations to articulate business plansReview and approve product backlogsAssist in designing and establishing a process for continuous improvement of our analytics suite of solutions, leveraging a data-driven, hypothesis-test-learn approachGather competitive intelligence on an ongoing basis, monitor strategy and competitive response for key competitive solution sets#LI-JD1We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability status, veteran status, marital status, citizenship status, sexual orientation, gender identity or any other characteristic protected by law.TransUnion's Internal Job Title:Sr Advisor, Product Management",Full-time,data scientist,Finance,5001 to 10000 Employees
"Bioinformatics, Scientist",MRIGlobal,"Gaithersburg, MD",$92K - $150K (Glassdoor est.),"Bioinformatics, ScientistMRIGlobal, 65 West Watkins Mill Road, Gaithersburg, Maryland, United States of America Req #386 Monday, November 30, 2020About MRIGlobalMRIGlobal, an independent research and development organization, delivers solutions in global health, national security and defense, and energy and the environment. The organization perform scientific research, advanced engineering, and program integration and management for clients in industry, government, and academia. Established in 1944 as Midwest Research Institute, MRIGlobal is based in Kansas City, Mo., and operates in nine states and Washington, D.C.Staff Scientist - BioinformaticsWe currently have an opening for a Staff Scientist in Bioinformatics, available immediately in Gaithersburg, Maryland. The successful candidate will join a team of researchers actively conducting genomics-based research in infectious disease diagnostics, microbiology, virology, and microbial forensics for a variety of government and industrial clients.Responsibilities/Duties:The candidate will have a background in bioinformatics, excellent Python knowledge, experience applying that knowledge to genomics, and also familiarity with machine learning methods. Candidates will be expected to develop technically-sound solutions for applied biology problems, and provide ongoing support to operational programs at MRIGlobal.The candidate will combine research in biology, gene ontology, virology, metagenomics, and microbial forensics with information technology in order to manage, analyze, and visualize biological data by • using approved bioinformatics tools and processes • developing and maintaining databases or repositories for sequencing data • writing reports to summarize methods and results • demonstrated ability to work independently and as part of a multidisciplinary team by communicating clearly and delivering timely results.Minimum Qualifications:B.S. or B.A. in Bioinformatics, Microbiology, Molecular Biology, or related discipline plus a minimum of 6 years of relevant work experience in bioinformatics analysis, or M.S. with 3 years relevant work including an emphasis on bioinformaticsThe candidate should have experience managing diverse genomic data types and sources; experience extracting, manipulating, and processing large sequence datasets.Expertise in Python, Javascript, and/or C++ scripting languages is highly desired. Experience working with Python-based tools is required, including: biopython, scikit-learn, Pandas, NumPy and SciPy; familiarity with R-based statistical packages or equivalents is a plus. Experience developing GUI-based scientific analysis software is a strong plus.Experience with feature selection, Natural Language Processing model building and optimization using supervised and unsupervised machine learning techniquesFamiliarity with HPC clusters and cloud computingKnowledge of multi-omics data integration and interpretationFamiliarity working in a Linux/Unix command-line environmentAble to obtain and maintain a security clearanceAbility to effectively communicate and interact with technical staff at all levels in a team-based environmentApplicants selected are required to possess or be able to obtain and maintain an active security clearance. In order to meet the government security investigation requirements, U.S. citizenship is a prerequisite.It is the policy of MRIGlobal to provide equal employment opportunities (EEO) to all employees and applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status or any other applicable federal or state protected classification.IND123Other detailsJob Family Active Job Function 08-Scientists Pay Type Salary Required Education Bachelor’s Degree",Full-time,bioinformatics scientist,Business Services,1001 to 5000 Employees
